,별점,리뷰내용,작성자,작성일자,공감 횟수,비공감 횟수
59,10,다섯번은본듯.ㅋ 마블시리즈 첨부터쭉볼까 하면서 다시본 아이언맨. 수트 자동으로 볼트쪼이면서 입을땐 정말소름돋을정도로 멋있다는~ 아임 아이언맨~,헐(cjk8****),2017.01.17 06:39,22,0
60,10,이게 2008년 영화라니..ㄷㄷㄷ;;,후후후후(wpql****),2016.08.15 21:50,24,2
61,10,아이언맨1에서의 I am Ironman이란 대사가 히어로 영화의 클리셰를 박살 냈다면 엔드게임에서의 I am Ironman은  아이언맨의 영웅으로서의 정체성을 집대성한 대사다,tnsg****,2019.05.02 19:18,21,0
62,10,최고다 진심아임 아이언맨.... 심장 남아나질 않음,아스날(heev****),2016.10.30 23:06,21,0
63,10,마블의 모든 것의 시작. 로다주 3000만큼 사랑해,빌헬미(jwjw****),2019.04.27 22:51,20,0
64,10,“I am iron man” MCU 영화는 이대사 하나로 요약한다,노성진(nsj1****),2019.04.27 02:36,19,0
65,10,마블이라는 최고의오락무비를 만들어낸 히어로영화...지금보면 익숙하지만 그때에는 ㅈㄴ충격이었음,인간(tkek****),2017.03.06 07:14,19,0
66,10,여기가 출발이자 끝의 성지입니다..,교육관(hanh****),2019.05.01 22:15,18,0
67,10,전설의 시작I' m iron man,gch0****,2019.04.25 00:17,18,0
68,10,이 영화 보고 공대왔습니다,유선종(sunj****),2016.05.08 14:59,20,2
69,10,아이언맨 3000만큼 사랑해,사람입니다만(audc****),2019.05.02 10:34,17,0
70,10,성인군자가 아닌 히어로가 결국 최고의 히어로가 되었다..,ko_ok(kwon****),2019.04.29 19:17,16,0
71,10,오늘 앤드게임 보고 아이언맨 정주행했네요. 아이언맨 2부터 마블 입문했었는데 아이언맨 1이 진짜 재밌네요. 11년전 영화인데 스토리며 화면이며 전혀 촌스럽지 않고 재밌네요. 갓토니 T.T,푸른꽃(deep****),2019.04.28 23:17,16,0
72,10,잊지 않을거야 내 히어로 내영웅 내 꿈 ㅠㅠ,ㅑ0ㅐㅜㅏ(1524****),2019.04.24 23:51,16,0
73,9,1편이 아이언맨 시리즈 중 가장 낫다.,사자어흥(sasc****),2018.01.12 22:25,17,1
74,10,토니도 따뜻한 가슴이 있다는 증거..,뜨거운예감(bose****),2019.05.12 10:06,15,0
75,10,MCU 전설의 시작....,JS(jsyu****),2019.05.08 19:40,15,0
76,10,아이언 맨 마지막 장면을 처음 봤을 떄가 아직도 생생한데 이제 볼 수 없다니... 당신처럼 인간적인 히어로도 없을 거예요. 안녕,시후(jjan****),2019.05.07 21:10,15,0
77,10,감독님 해피 호건... ㄷㄷ,오세현(sehy****),2019.05.03 15:03,15,0
78,10,모든것을 시작하고 모든것을 끝낸 남자,SONDER(hcb9****),2019.05.03 06:58,15,0
79,10,I am Ironman,진호(nemi****),2019.05.01 19:00,15,0
80,10,"아이언맨1  'I Am Iron man', 으로부터 어밴져스:엔드게임  'I Am Iron man'",스마일(gnk5****),2019.05.01 07:36,15,0
81,10,솔직히 옛날에 이거 재미없을것 같다고 한 댓글들 보면 웃음 밖에 안나온닼ㅋㅋ적어도 지금은 안 그러겠지,이재훈(wogn****),2017.05.05 14:01,15,0
82,10,마지막에 토니스타크와 닥터스트레인지 눈빛교환하는 장면이 진짜 인상깊었음,애긔슈퍼(sjhn****),2019.05.01 18:34,16,1
83,10,어렷을때 아이언맨1을  영화관에서 처음 봤을 때 그 기분은..말로 표현 할수가 없었다,don0****,2015.09.12 12:58,17,2
84,10,나는 아이언맨이다 이 대사가 로다주의 애드립이었다니..,고요(anto****),2019.05.01 02:30,14,0
85,10,당신이 있어주었기에 11년간 행복했습니다.,puma****,2019.04.30 02:21,14,0
86,10,전설의 시작. 무조건 10점.,달밤소리(ngm2****),2019.04.27 13:12,14,0
87,10,수고했어요 아이언맨 이제 평온하길.,없음(jymi****),2019.04.25 02:18,14,0
88,10,아이언맨이 흥행하지 않았으면 어벤져스는 만들지 않았을것.,PES6(1945****),2019.04.24 22:33,14,0
89,9,역시 흥미를 느끼기엔 아이언맨만한 마블이 없을듯,노코멘또(sjss****),2016.11.02 16:04,14,0
90,10,아이언맨 시리즈 중에 재미없는 게 없네♥,Everlasting Love(lees****),2013.07.03 19:26,20,6
91,10,3000만큼 사랑합니다. 처음부터 끝까지.,유수현(suhy****),2019.04.30 01:54,13,0
92,10,다시보는 전설의 시작....,bono****,2019.04.27 21:03,13,0
93,10,마블 시네마틱스가 지금에 있게한 수작,엔쵸(puuu****),2019.03.28 18:53,13,0
94,10,평범 왜이러지? 진짜 수작인데... 마블이 디씨보다 연출면에 있어서 압승인 것을 증명하는 작품이 아이언맨 시리즈. 히어로 영화계 판도를 바꿔놓은 아주 중요한 작품인데 8점대에 그쳐서 마음이 아프다..,손징(emo_****),2018.04.27 22:43,13,0
95,8,마블표 히어로무비의 알파이자 오메가,won0****,2018.01.09 20:32,13,0
96,10,감독이 해피인건 오늘 첨 알았다...,VVG(brad****),2017.11.21 19:16,13,0
97,10,내가 엔드게임을 본 이유,페이건민(natu****),2019.05.02 20:59,15,2
98,10,엔드게임 보고 다시 안볼 수 없다,앤썸(pkh0****),2019.05.14 06:18,12,0
99,10,모든 것이 시작된 영화.아이언맨이라 쓰고 어벤져스: 비기닝이라 읽음.,김진우(kjw0****),2019.05.08 15:43,12,0
